"Date/Time","Lat","Lon","Base"
"7/1/2014 8:34:00",40.7439,-73.989,"B02512"
"7/1/2014 8:36:00",40.7405,-73.9982,"B02512"
"7/1/2014 8:37:00",40.707,-74.0045,"B02512"
"7/1/2014 8:37:00",40.7252,-73.9991,"B02512"
"7/1/2014 8:39:00",40.7313,-74.0101,"B02512"
"7/1/2014 8:39:00",40.7265,-74.0068,"B02512"
"7/1/2014 8:40:00",40.7214,-73.9988,"B02512"
"7/1/2014 8:41:00",40.7715,-73.9886,"B02512"
"7/1/2014 8:42:00",40.8073,-74.2178,"B02512"
"7/1/2014 8:47:00",40.7466,-73.9845,"B02512"
"7/1/2014 8:49:00",40.7593,-73.9749,"B02512"
"7/1/2014 8:56:00",40.781,-73.9858,"B02512"
"7/1/2014 8:57:00",40.7681,-73.9915,"B02512"
"7/1/2014 8:57:00",40.7286,-73.9994,"B02512"
"7/1/2014 9:01:00",40.7865,-73.9688,"B02512"
"7/1/2014 9:02:00",40.7209,-73.9566,"B02512"
"7/1/2014 9:04:00",40.7261,-74.0058,"B02512"
"7/1/2014 9:05:00",40.7267,-73.9995,"B02512"
"7/1/2014 9:07:00",40.7313,-73.9824,"B02512"
"7/1/2014 9:08:00",40.7758,-73.9583,"B02512"
"7/1/2014 9:08:00",40.714,-74.0145,"B02512"
"7/1/2014 9:12:00",40.719,-73.989,"B02512"
"7/1/2014 9:13:00",40.7697,-73.9805,"B02512"
"7/1/2014 9:14:00",40.7522,-73.9777,"B02512"
"7/1/2014 9:14:00",40.7655,-73.9612,"B02512"
"7/1/2014 9:17:00",40.795,-73.9735,"B02512"
"7/1/2014 9:17:00",40.7344,-73.9977,"B02512"
"7/1/2014 9:19:00",40.7366,-73.997,"B02512"
"7/1/2014 9:20:00",40.7582,-73.9871,"B02512"
"7/1/2014 9:20:00",40.7582,-73.9871,"B02512"
"7/1/2014 9:22:00",40.7301,-73.9855,"B02512"
"7/1/2014 9:23:00",40.7599,-73.9746,"B02512"
"7/1/2014 9:25:00",40.7624,-73.9783,"B02512"
"7/1/2014 9:27:00",40.7363,-74.0076,"B02512"
"7/1/2014 9:29:00",40.8057,-73.2931,"B02512"
"7/1/2014 9:30:00",40.7614,-73.9677,"B02512"
"7/1/2014 9:33:00",40.7389,-74.0087,"B02512"
"7/1/2014 9:33:00",40.6912,-74.1779,"B02512"
"7/1/2014 9:34:00",40.7612,-73.9713,"B02512"
"7/1/2014 9:35:00",40.7217,-74.006,"B02512"
"7/1/2014 9:36:00",40.7902,-73.9731,"B02512"
"7/1/2014 9:36:00",40.7609,-73.98,"B02512"
"7/1/2014 9:37:00",40.7576,-73.9789,"B02512"
"7/1/2014 9:38:00",40.771,-73.8661,"B02512"
"7/1/2014 9:40:00",40.6639,-73.9455,"B02512"
"7/1/2014 9:44:00",40.744,-73.9839,"B02512"
"7/1/2014 9:45:00",40.7386,-73.9977,"B02512"
"7/1/2014 9:46:00",40.7563,-73.9246,"B02512"
"7/1/2014 9:49:00",40.7465,-74.0082,"B02512"
"7/1/2014 9:50:00",40.7352,-74.1649,"B02512"
"7/1/2014 9:52:00",40.7275,-73.9905,"B02512"
"7/1/2014 9:54:00",40.7141,-74.0094,"B02512"
"7/1/2014 9:54:00",40.7708,-73.8657,"B02512"
"7/1/2014 9:55:00",40.7605,-73.9912,"B02512"
"7/1/2014 9:56:00",40.7509,-73.9934,"B02512"
"7/1/2014 10:00:00",40.753,-74.004,"B02512"
"7/1/2014 10:00:00",40.7215,-73.9583,"B02512"
"7/1/2014 10:01:00",40.6911,-73.9076,"B02512"
"7/1/2014 10:05:00",40.7698,-73.9817,"B02512"
"7/1/2014 10:06:00",40.7609,-73.9756,"B02512"
"7/1/2014 10:12:00",40.7544,-73.9694,"B02512"
"7/1/2014 10:14:00",40.7752,-73.965,"B02512"
"7/1/2014 10:15:00",40.7372,-73.9884,"B02512"
"7/1/2014 10:17:00",40.8021,-73.9694,"B02512"
"7/1/2014 10:19:00",40.7514,-73.9752,"B02512"
"7/1/2014 10:20:00",40.7356,-74.0037,"B02512"
"7/1/2014 10:21:00",40.7263,-73.9993,"B02512"
"7/1/2014 10:24:00",40.7807,-73.9557,"B02512"
"7/1/2014 10:24:00",40.7712,-73.9662,"B02512"
"7/1/2014 10:25:00",40.7537,-73.9787,"B02512"
"7/1/2014 10:26:00",40.7413,-73.9847,"B02512"
"7/1/2014 10:27:00",40.7481,-73.9926,"B02512"
"7/1/2014 10:30:00",40.7629,-73.966,"B02512"
"7/1/2014 10:33:00",40.7886,-73.9669,"B02512"
"7/1/2014 10:37:00",40.7177,-73.9965,"B02512"
"7/1/2014 10:38:00",40.7467,-73.9728,"B02512"
"7/1/2014 10:39:00",40.6462,-73.7899,"B02512"
"7/1/2014 10:39:00",40.7226,-73.9977,"B02512"
"7/1/2014 10:40:00",40.7658,-73.9834,"B02512"
"7/1/2014 10:43:00",40.744,-73.9879,"B02512"
"7/1/2014 10:44:00",40.757,-73.974,"B02512"
"7/1/2014 10:45:00",40.7425,-73.9959,"B02512"
"7/1/2014 10:45:00",40.7352,-74.0015,"B02512"
"7/1/2014 10:46:00",40.7655,-73.97,"B02512"
"7/1/2014 10:48:00",40.7519,-73.9709,"B02512"
"7/1/2014 10:50:00",40.6468,-73.7905,"B02512"
"7/1/2014 10:51:00",40.7691,-73.981,"B02512"
"7/1/2014 10:51:00",40.7191,-74.0052,"B02512"
"7/1/2014 10:53:00",40.725,-73.996,"B02512"
"7/1/2014 10:53:00",40.746,-73.9999,"B02512"
"7/1/2014 10:53:00",40.7343,-73.9949,"B02512"
"7/1/2014 10:54:00",40.7198,-73.9943,"B02512"
"7/1/2014 10:54:00",40.6472,-74.0001,"B02512"
"7/1/2014 10:55:00",40.7437,-73.9926,"B02512"
"7/1/2014 10:56:00",40.55,-74.4099,"B02512"
"7/1/2014 10:56:00",40.7547,-73.9837,"B02512"
"7/1/2014 10:56:00",40.7582,-73.9897,"B02512"
"7/1/2014 10:58:00",40.7744,-73.9821,"B02512"
"7/1/2014 11:00:00",40.7571,-73.9744,"B02512"
"7/1/2014 11:00:00",40.8584,-73.9346,"B02512"
"7/1/2014 11:03:00",40.7582,-73.9653,"B02512"
"7/1/2014 11:03:00",40.721,-74.0084,"B02512"
"7/1/2014 11:04:00",40.7559,-73.9833,"B02512"
"7/1/2014 11:06:00",40.7512,-73.9754,"B02512"
"7/1/2014 11:07:00",40.7174,-73.9984,"B02512"
"7/1/2014 11:11:00",40.7674,-73.9551,"B02512"
"7/1/2014 11:13:00",40.7781,-73.9748,"B02512"
"7/1/2014 11:15:00",40.7238,-74.0106,"B02512"
"7/1/2014 11:16:00",40.7771,-73.9779,"B02512"
"7/1/2014 11:18:00",40.7507,-73.987,"B02512"
"7/1/2014 11:19:00",40.7661,-73.9697,"B02512"
"7/1/2014 11:19:00",40.7627,-73.9967,"B02512"
"7/1/2014 11:22:00",40.7272,-73.9899,"B02512"
"7/1/2014 11:24:00",40.7587,-73.979,"B02512"
"7/1/2014 11:24:00",40.7594,-73.9677,"B02512"
"7/1/2014 11:28:00",40.7199,-74.0033,"B02512"
"7/1/2014 11:28:00",40.7192,-73.9483,"B02512"
"7/1/2014 11:29:00",40.7759,-73.9586,"B02512"
"7/1/2014 11:29:00",40.773,-73.9644,"B02512"
"7/1/2014 11:30:00",40.7205,-73.9632,"B02512"
"7/1/2014 11:31:00",40.7648,-73.9959,"B02512"
"7/1/2014 11:33:00",40.7376,-74.0058,"B02512"
"7/1/2014 11:33:00",40.7402,-73.9823,"B02512"
"7/1/2014 11:33:00",40.7666,-73.9539,"B02512"
"7/1/2014 11:34:00",40.7593,-73.9648,"B02512"
"7/1/2014 11:35:00",40.7697,-73.9819,"B02512"
"7/1/2014 11:36:00",40.7332,-73.9934,"B02512"
"7/1/2014 11:37:00",40.78,-73.9733,"B02512"
"7/1/2014 11:38:00",40.7188,-74.0105,"B02512"
"7/1/2014 11:40:00",40.7263,-74.0002,"B02512"
"7/1/2014 11:40:00",40.7616,-73.9733,"B02512"
"7/1/2014 11:43:00",40.7298,-73.9969,"B02512"
"7/1/2014 11:43:00",40.7615,-73.9661,"B02512"
"7/1/2014 11:43:00",40.7718,-73.9827,"B02512"
